time;nederbordsmangd-dygn;signifikantamoln;sikt;totalmolnmangd;
2021-03-08 00:00:00;0;4030;46765.6666666667;3.16666666666667;
2021-03-09 00:00:00;0.6;705;34545.8333333333;67.7916666666667;
2021-03-10 00:00:00;0;470.454545454545;45088.7083333333;85.5833333333333;
2021-03-11 00:00:00;5.7;439.166666666667;12734.4583333333;104.333333333333;
2021-03-12 00:00:00;0.6;275.416666666667;12206.5;98;
2021-03-13 00:00:00;6.1;212.083333333333;13274.0416666667;99.1666666666667;
2021-03-14 00:00:00;1.2;367.916666666667;15176.8461538462;104.416666666667;
2021-03-15 00:00:00;1.6;114.166666666667;0;103.791666666667;
2021-03-16 00:00:00;0.3;714.210526315789;0;69.4583333333333;
2021-03-17 00:00:00;0;2532.85714285714;50000;42.4166666666667;
2021-03-18 00:00:00;0;1374.11764705882;46720.2173913043;55.9583333333333;
2021-03-19 00:00:00;0;1844.61538461538;45772.5416666667;37.6666666666667;
2021-03-20 00:00:00;0;422.916666666667;24295.0416666667;100.625;
2021-03-21 00:00:00;0;1298.57142857143;42870.0833333333;25.625;
2021-03-22 00:00:00;0;3934.44444444444;48112.0416666667;34.9583333333333;
2021-03-23 00:00:00;0;519.5;15665.6666666667;82.5;
2021-03-24 00:00:00;0.2;354.166666666667;12134.9166666667;99;
2021-03-25 00:00:00;0.5;430.833333333333;13721.4583333333;90.375;
2021-03-26 00:00:00;0;706.25;14064.5416666667;101.333333333333;
2021-03-27 00:00:00;7.1;896.315789473684;7087.20833333333;76.2083333333333;
2021-03-28 00:00:00;3;311.666666666667;16209.4166666667;100.125;
2021-03-29 00:00:00;1.6;64.5833333333333;2033.16666666667;106.5;
2021-03-30 00:00:00;0.1;130.416666666667;5166.66666666667;105.583333333333;
2021-03-31 00:00:00;4;255.454545454545;21762.4583333333;88.6666666666667;
2021-04-01 00:00:00;0;340;37013.3333333333;42.3333333333333;
2021-04-02 00:00:00;0;1430;40245.1304347826;63.2916666666667;
2021-04-03 00:00:00;0;1352;46994.375;11.0833333333333;
2021-04-04 00:00:00;2.6;300.666666666667;29457.25;57.875;
2021-04-05 00:00:00;0.4;1425.78947368421;34540.625;70;
2021-04-06 00:00:00;0.9;3358.33333333333;47222.5;25.6666666666667;
2021-04-07 00:00:00;0;1213.88888888889;42136.5833333333;64.25;
2021-04-08 00:00:00;3.1;1212.94117647059;40925.3913043478;57.7826086956522;
2021-04-09 00:00:00;1.8;551.666666666667;18173.25;88.7916666666667;
2021-04-10 00:00:00;0;882.380952380952;35117;66.9583333333333;
2021-04-11 00:00:00;17.8;906.5;12553.5833333333;75.125;
2021-04-12 00:00:00;0.4;487.826086956522;29655.75;88.8333333333333;
2021-04-13 00:00:00;1.3;542.173913043478;29623.7916666667;87.7083333333333;
2021-04-14 00:00:00;0;1887.85714285714;47411.2083333333;49.625;
2021-04-15 00:00:00;0;1685;45246.0416666667;27.2083333333333;
2021-04-16 00:00:00;0;2403.84615384615;46141.875;48;
2021-04-17 00:00:00;0;3435;45990.2916666667;55.4166666666667;
2021-04-18 00:00:00;0;3382;45703.375;26.6666666666667;
2021-04-19 00:00:00;0;0;44579.5;0;
2021-04-20 00:00:00;0;0;43337.75;0.541666666666667;
2021-04-21 00:00:00;4.8;885.263157894737;30522.75;68.4166666666667;
2021-04-22 00:00:00;1.5;751.5;21340.7916666667;75.6666666666667;
2021-04-23 00:00:00;0;2024.11764705882;45053.0416666667;40.2916666666667;
2021-04-24 00:00:00;0;1476.66666666667;46756.7083333333;26.2083333333333;
2021-04-25 00:00:00;0;1594;47410;54.4166666666667;
2021-04-26 00:00:00;0;1704.44444444444;46061.75;26.1666666666667;
2021-04-27 00:00:00;0;1741.90476190476;46820.2083333333;75.6666666666667;
2021-04-28 00:00:00;0;1740;47228.875;86.0833333333333;
2021-04-29 00:00:00;0;1505;37119.8260869565;65.9565217391304;
2021-04-30 00:00:00;0;2120;46108;71.3478260869565;
2021-05-01 00:00:00;0.1;1703.04347826087;43847.1666666667;88.25;
2021-05-02 00:00:00;0;1773.68421052632;37223.4583333333;74.0833333333333;
2021-05-03 00:00:00;2.4;1255.90909090909;29409.75;83.0416666666667;
2021-05-04 00:00:00;16.9;918.695652173913;10478.3043478261;93.9166666666667;
2021-05-05 00:00:00;11.2;152.916666666667;11643.4583333333;100.583333333333;
2021-05-06 00:00:00;1.8;354.166666666667;19429.0833333333;102.75;
2021-05-07 00:00:00;0.1;1479.5652173913;41212.5416666667;83.5416666666667;
2021-05-08 00:00:00;1.1;2640;41461.9583333333;72.125;
2021-05-09 00:00:00;4.5;1520.83333333333;26966.2608695652;95;
2021-05-10 00:00:00;0;3405;42551.2083333333;66.9166666666667;
2021-05-11 00:00:00;0;3222.63157894737;39320.9166666667;62.75;
2021-05-12 00:00:00;0;4934.28571428571;36196.5833333333;19.4583333333333;
2021-05-13 00:00:00;0;2335;30045.3333333333;31.9166666666667;
2021-05-14 00:00:00;10;1827.72727272727;36169;71.5833333333333;
2021-05-15 00:00:00;5;155.833333333333;9755.65217391304;101.625;
2021-05-16 00:00:00;0.2;187.5;22400.4782608696;98.25;
2021-05-17 00:00:00;0.8;861.052631578947;30290.8333333333;72.0416666666667;
2021-05-18 00:00:00;0.2;1516.42857142857;37232.9166666667;47.625;
2021-05-19 00:00:00;0;875.555555555556;37254.7727272727;55.9583333333333;
2021-05-20 00:00:00;3.7;530;28163.1666666667;88.2083333333333;
2021-05-21 00:00:00;0.4;936.315789473684;35629.2083333333;68.9166666666667;
