,date_time,CIE UV irradiance,Global irradiance,Direct normal irradiance,PAR,Direct horizontal irradiance,Diffuse irradiance
67,2021-05-07 00:00:00+00:00,220.3,2794.2,693.2,1170.5,340.8,2453.3
68,2021-05-08 00:00:00+00:00,501.5,5531.7,5886.0,2330.3,3243.0,2288.8
69,2021-05-09 00:00:00+00:00,363.7,2790.6,1086.6,1221.5,500.0,2290.6
70,2021-05-10 00:00:00+00:00,430.1,3166.9,727.3,1407.9,363.5,2803.4
71,2021-05-11 00:00:00+00:00,398.5,3263.9,988.5,1451.3,436.2,2827.8
72,2021-05-12 00:00:00+00:00,653.9,6343.0,8004.3,2805.3,4233.9,2109.3
73,2021-05-13 00:00:00+00:00,716.5,6540.6,7567.7,2872.5,4135.6,2404.9
74,2021-05-14 00:00:00+00:00,367.6,3394.7,1332.8,1476.0,621.3,2773.6
75,2021-05-15 00:00:00+00:00,319.3,2135.3,15.2,941.0,10.8,2124.4
76,2021-05-16 00:00:00+00:00,293.3,2491.5,246.6,1082.6,94.4,2397.2
77,2021-05-17 00:00:00+00:00,457.2,3923.2,2040.8,1703.8,1135.3,2787.7
78,2021-05-18 00:00:00+00:00,395.6,3496.9,2640.9,1512.1,959.7,2537.2
79,2021-05-19 00:00:00+00:00,711.3,6347.7,6599.7,2724.1,3869.9,2477.6
80,2021-05-20 00:00:00+00:00,449.3,3566.0,1693.5,1531.0,951.5,2614.4
81,2021-05-21 00:00:00+00:00,438.0,3821.9,2912.5,1636.5,1020.8,2801.0
82,2021-05-22 00:00:00+00:00,558.4,4857.7,3120.8,2099.8,1934.6,2923.1
83,2021-05-23 00:00:00+00:00,376.9,2484.5,79.7,1084.8,53.8,2430.6
84,2021-05-24 00:00:00+00:00,518.5,4598.3,3708.2,1978.9,1681.9,2916.6
85,2021-05-25 00:00:00+00:00,313.0,2868.1,480.9,1249.2,211.0,2657.2
86,2021-05-26 00:00:00+00:00,309.3,2410.7,57.8,1039.9,27.7,2382.9
87,2021-05-27 00:00:00+00:00,414.0,2992.4,778.0,1303.1,382.5,2610.0
88,2021-05-28 00:00:00+00:00,590.3,5046.6,4750.5,2175.8,2384.3,2662.3
89,2021-05-29 00:00:00+00:00,1070.4,7856.5,10877.7,3404.9,5907.1,1949.5
90,2021-05-30 00:00:00+00:00,1068.1,8260.4,11802.7,3608.7,6661.0,1599.6
91,2021-05-31 00:00:00+00:00,693.7,5267.4,5150.7,2310.4,2570.9,2696.3
92,2021-06-01 00:00:00+00:00,690.0,5485.8,4796.0,2377.8,3185.4,2300.5
93,2021-06-02 00:00:00+00:00,549.3,4819.8,4398.5,2107.1,2142.4,2677.1
